cfg,lang_pair,train,val,test,date_of_count
an-en(_dev_test)/(train|val|test).csv,an-en,20089,997,1012,06/12/2025 11:40:59
as-bn(_dev_test)/(train|val|test).csv,as-bn,1013015,997,1012,06/12/2025 11:40:59
as-hi(_dev_test)/(train|val|test).csv,as-hi,478962,997,1012,06/12/2025 11:40:59
bem-en(_dev_test)/(train|val|test).csv,bem-en,462128,997,1012,06/12/2025 11:40:59
bho-as(_dev_test)/(train|val|test).csv,bho-as,82100,997,1012,06/12/2025 11:40:59
bho-hi(_dev_test)/(train|val|test).csv,bho-hi,345722,997,1012,06/12/2025 11:40:59
bn-as(_dev_test)/(train|val|test).csv,bn-as,1013015,997,1012,06/12/2025 11:40:59
bn-hi(_dev_test)/(train|val|test).csv,bn-hi,3481537,997,1012,06/12/2025 11:40:59
cs-de(_dev_test)/(train|val|test).csv,cs-de,10000000,997,1012,06/12/2025 11:40:59
cs-hsb(_dev_test)/(train|val|test).csv,cs-hsb,326,,,06/12/2025 11:40:59
djk-en(_dev_test)/(train|val|test).csv,djk-en,9942,585,1180,06/12/2025 11:40:59
es-an(_dev_test)/(train|val|test).csv,es-an,28594,997,1012,06/12/2025 11:40:59
es-en(_dev_test)/(train|val|test).csv,es-en,10000000,997,1012,06/12/2025 11:40:59
ewe-en(_dev_test)/(train|val|test).csv,ewe-en,22196,997,1012,06/12/2025 11:40:59
ewe-fon(_dev_test)/(train|val|test).csv,ewe-fon,72424,997,1012,06/12/2025 11:40:59
ewe-fr(_dev_test)/(train|val|test).csv,ewe-fr,924526,997,1012,06/12/2025 11:40:59
fon-en(_dev_test)/(train|val|test).csv,fon-en,1788439,997,1012,06/12/2025 11:40:59
fon-ewe(_dev_test)/(train|val|test).csv,fon-ewe,72424,997,1012,06/12/2025 11:40:59
fon-fr(_dev_test)/(train|val|test).csv,fon-fr,525384,997,1012,06/12/2025 11:40:59
fr-en(_dev_test)/(train|val|test).csv,fr-en,10000000,997,1012,06/12/2025 11:40:59
fr-mfe(_dev_test)/(train|val|test).csv,fr-mfe,13327,148,312,06/12/2025 11:40:59
hi-as(_dev_test)/(train|val|test).csv,hi-as,478962,997,1012,06/12/2025 11:40:59
hi-bho(_dev_test)/(train|val|test).csv,hi-bho,345722,997,1012,06/12/2025 11:40:59
hsb-de(_dev_test)/(train|val|test).csv,hsb-de,58472,2000,2000,06/12/2025 11:40:59
lua-bem(_dev_test)/(train|val|test).csv,lua-bem,115432,997,1012,06/12/2025 11:40:59
lua-en(_dev_test)/(train|val|test).csv,lua-en,2065546,997,1012,06/12/2025 11:40:59
mfe-en(_dev_test)/(train|val|test).csv,mfe-en,19149,472,811,06/12/2025 11:40:59
