source,hyp,id,score
ADT,ADT,174,-8.88421
APS,APS,175,-8.86921
Afriky,Afriki,189,-8.33813
Alžběta,Hlžběta,199,-8.1136
Ameriky,Amjeriki,205,-8.388
Amsterdamu,Amsterdamu,209,-8.3648
Argentiny,Argentiny,224,-8.14551
Artibonite,Artiboniće,233,-8.71767
Asociacion,Asocijacion,238,-8.63778
Auckland,Auchlandź,245,-8.68086
Bafokeng,Bafokang,268,-8.86239
Balasubramanian,Balasubramanian,269,-8.01521
Brooksem,Browoksym,310,-8.28088
Celostátní,Celostatnje,343,-8.57441
Charlese,Charlesa,355,-8.68976
Chhappan,Chhappan,357,-8.30477
Civilizace,Ciwilizace,365,-8.66965
Crocodile,Crocodźile,375,-8.45367
Estrellas,Estrelas,470,-8.38909
Evropské,Ewropskeje,473,-8.26423
Evropy,Ewropy,475,-8.17446
Eysturoy,Eysturoy,481,-8.69085
HDP,HDP,568,-8.46991
Honšú,Honšu,602,-8.5007
Horolezci,Horolezci,604,-8.82692
Indickém,Indiskem,620,-8.19829
Indií,Indźije,623,-8.03651
Internetové,Internetowy,629,-8.99786
Invaze,Inowaze,632,-8.88539
Itálii,Italii,644,-8.13315
JAR,JAR,650,-8.21593
Jeskynní,Jeskinarne,687,-8.55364
Jihozápadní,Jihozapadnje,691,-8.13318
Johndroe,Johndroje,700,-8.64768
Kirchner,Hirchnjer,736,-8.13981
Kišiněv,Hišćiněw,740,-8.57475
Kolegové,Kólegowy,746,-8.98527
Kontinua,Kóntinowa,764,-8.05579
Korejského,Horjeskejeho,769,-8.38052
Krezel,Hrjezel,774,-8.12956
Královnou,Hralownu,780,-8.19512
Králů,Hrało,781,-8.21097
Lakkha,Lakkha,795,-8.32391
Lantagne,Lantagne,798,-8.04396
Larryho,Larryho,799,-8.12791
Layton,Laiton,802,-8.1836
Lealofi,Lěalofi,804,-8.22853
Letecké,Lěteskej,807,-8.40135
Loesch,Lojesch,816,-8.01298
Loongem,Loongem,820,-8.79976
Lyžařská,Lyžariska,832,-8.85225
Lékaři,Lekari,836,-8.71005
Lékařská,Lekariska,837,-8.40317
MDT,MDT,840,-8.28329
Mluvčí,Mluwči,898,-8.83458
Murray,Murory,921,-8.54011
NHC,NHC,943,-8.70627
NHK,NHK,944,-8.98353
Neexistuje,Njejexistuje,966,-8.83962
Nezapomeňte,Njezapomjeńće,994,-8.60135
Normandii,Normandźii,1009,-8.41657
Němců,Njemjca,1035,-8.07215
Obecně,Objecinje,1045,-8.01618
Oblíbené,Oblěbjene,1048,-8.26129
Obsahové,Obsahowy,1050,-8.19489
Obtížný,Obtižny,1052,-8.85229
Obvinění,Obwinjenje,1053,-8.29371
Obvykle,Obwykle,1054,-8.983
Oběťmi,Objećmi,1057,-8.07068
Oficiální,Woficialnje,1063,-8.47248
Oficiálním,Woficialnim,1064,-8.98024
Olympijského,Wołympiskejeho,1074,-8.73346
Originální,Woriginalnje,1084,-8.60674
Osvícení,Woswěcenje,1087,-8.1401
Ovocné,Wowocne,1091,-8.29499
Pacifické,Pacifiskeje,1101,-8.21243
Pařížané,Parižanje,1119,-8.83004
Plateau,Plateaju,1137,-8.1306
Používání,Požiwanje,1175,-8.01182
Pozdější,Pozdźěši,1178,-8.26515
Prospěšné,Prospěšne,1197,-8.3541
Runnels,Runnjels,1282,-8.72526
Sagittarius,Sagittarius,1296,-8.22163
Sahelanthropus,Sahelanthropus,1297,-8.16083
Samozřejmě,Samozrjemje,1307,-8.03549
Schneider,Schnjeidźer,1322,-8.17371
Shyamovi,Shyamowi,1351,-8.8037
Sin-chua,Sin-chua,1359,-8.69229
Souhlasíme,Suhłasamje,1380,-8.16171
Specifická,Specifiska,1387,-8.84548
Stanley,Stanjeley,1398,-8.11965
Starověké,Starowěkeje,1402,-8.51802
Sundarbans,Sundajerbans,1429,-8.26264
Sustainable,Sustainabły,1431,-8.00328
TMZ,TMZ,1449,-8.01954
Texasu,Texasu,1478,-8.20406
Velikonoční,Welikonočni,1559,-8.99851
Vládnoucí,Wladnowuci,1583,-8.70697
Vnitrozemské,Wnitrozemskeje,1584,-8.27345
Vnitřní,Wnitrne,1585,-8.22942
Vyhlášku,Wyhlašu,1595,-8.44061
Vyjednavači,Wyjednowači,1596,-8.02693
Vyrábíme,Wyrabimje,1599,-8.59929
Většinou,Wětšinu,1620,-8.78569
Zabýval,Zabiwal,1655,-8.19638
Zajímavé,Zajimawe,1662,-8.08136
Zkoumání,Zkomanje,1679,-8.61601
Zpětné,Zpětny,1687,-8.99832
absolutní,absolutarne,1703,-8.39953
aktuální,aktualnje,1737,-8.24843
alkoholické,alkoholiskeje,1745,-8.63413
aminokyseliny,aminokyseliny,1757,-8.96187
artefakty,artafakty,1785,-8.47549
automatizují,awtomatizuje,1815,-8.46939
bezpečnostním,bezpječnostnim,1850,-8.01597
biorytmech,bioritmach,1870,-8.20711
broadsides,broadsidźes,1939,-8.77606
centrálním,centralnim,2033,-8.05103
cestujícího,cestujiciho,2053,-8.75987
chirurgickou,chirurgiske,2071,-8.62696
chuťově,chućowje,2097,-8.23929
cukrovky,cukrowki,2126,-8.51553
císařském,cisarskem,2144,-8.48417
devatenáct,dewaćenacć,2203,-8.04661
diagnózy,diagnozy,2212,-8.92917
diverzifikaci,dźiwersifikaci,2234,-8.89977
doplňkové,doplńkowy,2346,-8.7133
dřívější,driwěši,2514,-8.50575
důležitou,dołožitoju,2519,-8.33554
důležité,dołožiće,2521,-8.39002
džunglí,džungli,2537,-8.02457
energetické,jenjergetiskeje,2569,-8.15975
esenciální,esancialnje,2578,-8.83992
existují,jexistuje,2595,-8.99857
exotické,jexotiskeje,2598,-8.14557
experti,jexperći,2604,-8.59886
explodovala,jexplodowala,2606,-8.48374
exponovaných,jexponowanych,2609,-8.14977
fanoušky,fanuški,2619,-8.27347
fanoušků,fanuško,2620,-8.91186
federální,fedźeralnje,2625,-8.34449
federálních,fedźeralnich,2626,-8.13025
federálním,fedźeralnim,2627,-8.85225
federálními,fedźeralemi,2628,-8.59648
filozofové,filozofowy,2641,-8.60635
formální,formalnje,2661,-8.10666
formálním,formalnim,2662,-8.61442
formálně,formalnje,2663,-8.13862
fosíliích,fosiliuch,2673,-8.29055
fotografové,fotografowy,2686,-8.11707
fotosyntézy,fotosyntezy,2687,-8.87976
frekvencích,frjekwancich,2693,-8.59682
fungují,funguje,2700,-8.9225
funkčnosti,funčnosći,2703,-8.50979
funkční,funčni,2704,-8.54962
galaxii,galaxii,2717,-8.89604
geofyzikální,geofyzikalnje,2730,-8.21651
guvernér,guwerner,2747,-8.47397
hlemýždě,hlemyždźe,2785,-8.54657
hospodářství,hospodarosće,2844,-8.51034
hypotéz,hypotez,2896,-8.05239
