source,hyp,id,confidence
more,moo,4073,-0.346445232629776
dark,daliki,2586,-0.3390492796897888
deer,dee,2618,-0.3767580986022949
made,madi,3909,-0.38305002450942993
tank,tenki,5529,-0.32855725288391113
date,date,2588,-0.3454035520553589
free,fee,3231,-0.34476372599601746
able,bele,1630,-0.3375368118286133
Raju,Lafu,1213,-0.33633583784103394
cart,kaati,2181,-0.3381068706512451
band,bandi,1938,-0.3043373227119446
were,weli,6005,-0.3325972259044647
west,wesi,6006,-0.3514786958694458
nuts,nuti,4220,-0.3267214596271515
tool,tooo,5676,-0.33386892080307007
plan,palan,4481,-0.3563464879989624
warm,waan,5962,-0.3008384704589844
Jong,Jonga,861,-0.3133513629436493
apex,apee,1818,-0.33502209186553955
ISIL,Iji,790,-0.3627159595489502
ones,onesi,4277,-0.3651583194732666
left,lefi,3811,-0.3187517821788788
Dead,Dey,517,-0.37359389662742615
Java,Jama,847,-0.3079262375831604
km<unk>h,kwwi,3740,-0.39092615246772766
line,Lini,3846,-0.3777942359447479
Bhog,Boogu,349,-0.33216795325279236
mood,moo,4069,-0.3029009699821472
come,kon,2349,-0.35937803983688354
news,nesi,4168,-0.34480828046798706
Drug,Drugu,548,-0.3446834981441498
then,ten,5598,-0.3557508885860443
east,Sasiti,2827,-0.366169810295105
Cold,Kolo,457,-0.360144704580307
fund,foni,3260,-0.3343912959098816
wide,wide,6029,-0.304920494556427
star,sitali,5351,-0.3154129087924957
frog,fogu,3244,-0.3904988467693329
Moll,Molo,1004,-0.32008859515190125
hail,kili,3376,-0.32830721139907837
reef,lee,4798,-0.3705780506134033
City,Kity,448,-0.3218412697315216
verb,beli,5887,-0.377307653427124
snow,sow,5236,-0.31870144605636597
path,pasi,4398,-0.3495694696903229
vast,basiti,5877,-0.37963157892227173
lies,leesi,3832,-0.34337735176086426
text,tesi,5587,-0.31911471486091614
seat,spati,5055,-0.3807457983493805
bomb,bomi,2059,-0.35290294885635376
Kong,Kongu,890,-0.3402296304702759
pair,pai,4355,-0.36766958236694336
