source,hyp,id,confidence
much,muki,4100,-0.08275920897722244
Baba,Baba,321,-0.037440113723278046
Newt,Newti,1055,-0.05503123998641968
grow,gow,3358,-0.05796514451503754
Moon,Moon,1010,-0.026604337617754936
Adam,Adan,221,-0.030046280473470688
Last,Lasiti,912,-0.06281651556491852
live,libi,3862,-0.08027197420597076
Anne,Ane,262,-0.044193901121616364
life,libi,3833,-0.04903922230005264
Cabo,Kabo,397,-0.05429184436798096
lava,laba,3784,-0.08193027228116989
also,so,1774,-0.03302041068673134
wood,woo,6066,-0.060861553996801376
meat,meti,3988,-0.08946499973535538
Paro,Palo,1143,-0.06226833909749985
Lady,Lady,902,-0.027378017082810402
work,wooko,6070,-0.020977182313799858
bill,bili,2019,-0.0648358017206192
Arba,Alba,275,-0.041746050119400024
Noto,Noto,1078,-0.034513041377067566
till,tili,5652,-0.07790983468294144
fish,fisi,3144,-0.06360151618719101
corn,koon,2487,-0.027392949908971786
Cuba,Kuba,494,-0.060979776084423065
word,woo,6068,-0.08458658307790756
Late,Late,913,-0.09973956644535065
call,kali,2140,-0.03732641413807869
door,doo,2774,-0.06194571405649185
ship,sipi,5131,-0.05203493684530258
wish,wisi,6052,-0.06342186778783798
site,siti,5191,-0.08768255263566971
bits,biti,2032,-0.0538858026266098
Deal,Deli,518,-0.06826755404472351
fits,fiti,3150,-0.06777822226285934
mind,mini,4037,-0.05219985172152519
good,goo,3328,-0.045153114944696426
Roca,Loka,1245,-0.05357341840863228
Site,Site,1354,-0.047580961138010025
Polo,Polo,1178,-0.007133448030799627
Luna,Luna,937,-0.020715808495879173
Hall,Hali,742,-0.056549761444330215
sent,senti,5088,-0.07285311073064804
five,fibi,3151,-0.0536385253071785
back,baki,1923,-0.051563795655965805
Five,Fibe,656,-0.05743802711367607
polo,polo,4526,-0.09231875091791153
Lion,Lion,922,-0.038880884647369385
Hale,Hale,740,-0.07568487524986267
test,tesi,5584,-0.042296744883060455
Cape,Kape,408,-0.06675254553556442
miss,misi,4047,-0.038493938744068146
Soon,Soon,1367,-0.03236481174826622
want,wanti,5957,-0.06014668941497803
halo,kalo,3380,-0.02079710178077221
food,foo,3187,-0.04806184023618698
fear,feli,3087,-0.07210341840982437
wind,wini,6044,-0.09294497966766357
Arya,Alya,291,-0.03854750469326973
Riga,Liga,1239,-0.017982155084609985
fall,fali,3060,-0.09938926994800568
ball,bali,1935,-0.04719112068414688
Mick,Miki,985,-0.02421816997230053
Book,Booko,363,-0.023228822275996208
Anfa,Anfa,258,-0.01312981266528368
pass,pasi,4387,-0.07959494739770889
Gama,Gama,683,-0.021501243114471436
Ryan,Lyan,1266,-0.08532536774873734
book,booko,2062,-0.04304235428571701
Arly,Ally,283,-0.09082844108343124
Dani,Dani,509,-0.025302352383732796
base,basi,1950,-0.08329963684082031
take,teki,5523,-0.08634287118911743
dish,ddisi,2731,-0.09943324327468872
baby,babi,1922,-0.028635140508413315
Many,Many,957,-0.04175239056348801
Goma,Goma,712,-0.04011693224310875
sets,seti,5102,-0.05824573338031769
tick,tiki,5644,-0.05708849057555199
