source,hyp,id,confidence
desde,desde,2856,-0.2517618238925934
abren,ubren,1316,-0.22139699757099152
otras,atras,5123,-0.2271273136138916
acoge,acolle,1355,-0.2965494990348816
habrá,habrá,3943,-0.20716266334056854
Aérea,Aeria,259,-0.297470360994339
verse,verse,6819,-0.24654613435268402
mitad,mitad,4754,-0.20159763097763062
puede,puede,5662,-0.20582257211208344
envío,ninvio,3287,-0.25150781869888306
ponen,ponen,5397,-0.2715912461280823
costo,costo,2560,-0.22929707169532776
hacia,facia,3951,-0.28276196122169495
habla,parla,3936,-0.2596457898616791
oírse,oírse,5128,-0.24608129262924194
Todos,Todos,1178,-0.29998862743377686
arma,arma,1672,-0.23789994418621063
cómo,cómo,2678,-0.2230111062526703
otra,atra,5122,-0.2683119475841522
Unos,Uns,1221,-0.2663021385669708
área,aria,6971,-0.22349496185779572
6000,6000,146,-0.240440234541893
alas,alas,1479,-0.21569238603115082
cuál,cuál,2668,-0.22973184287548065
cual,qual,2609,-0.2558270990848541
1976,1976,60,-0.21902792155742645
para,para,5160,-0.2404392659664154
3850,3850,120,-0.2878439426422119
ella,ella,3163,-0.23757165670394897
cabo,cabo,1960,-0.21702031791210175
cría,cría,2603,-0.2154533863067627
otro,atro,5124,-0.26285675168037415
éste,iste,6979,-0.21925902366638184
ríos,ríos,6058,-0.20280885696411133
peor,pior,5258,-0.2478766143321991
amor,amor,1559,-0.2227899730205536
leyó,leyió,4454,-0.20022185146808624
osos,osos,5120,-0.2400808483362198
pies,pies,5325,-0.2732328176498413
Bajo,Baixo,265,-0.23240114748477936
haga,faga,3955,-0.2616601586341858
ante,ante,1590,-0.29363805055618286
sean,sigan,6114,-0.20365458726882935
agua,agua,1464,-0.20382718741893768
dado,dau,2690,-0.21867245435714722
vino,vino,6860,-0.2924542725086212
Edad,Edat,461,-0.26104825735092163
1979,1979,63,-0.26018720865249634
edad,edat,3110,-0.20218566060066223
unas,unas,6711,-0.22031310200691223
lujo,luxo,4540,-0.2454572319984436
verá,verá,6825,-0.27739766240119934
raíz,raiz,5745,-0.2883619964122772
caos,caos,2029,-0.23928865790367126
1989,1989,66,-0.2846554219722748
caza,caza,2100,-0.229075625538826
ELIL,ELIL,455,-0.22556664049625397
nido,nido,4923,-0.20339177548885345
sede,sede,6131,-0.21082893013954163
humo,humo,4054,-0.263639360666275
pues,pues,5671,-0.21604685485363007
Todo,Todo,1177,-0.2688067555427551
1885,1885,44,-0.20000627636909485
usen,usen,6738,-0.2289198637008667
2500,2500,99,-0.28040415048599243
allí,allí,1518,-0.29366713762283325
dice,dice,2938,-0.25907841324806213
Fría,Fría,545,-0.2853706479072571
alto,alto,1534,-0.2746553122997284
alma,alma,1519,-0.23325160145759583
vías,vías,6931,-0.22839878499507904
1978,1978,62,-0.2952027916908264
todo,tot,6551,-0.2549833059310913
1966,1966,57,-0.29815950989723206
toda,toda,6548,-0.2310735434293747
once,once,5066,-0.20567744970321655
XVII,XVI,1277,-0.2919410765171051
búho,buho,1954,-0.20010747015476227
unos,unos,6722,-0.291993111371994
años,anyos,1822,-0.24647091329097748
aquí,aquí,1662,-0.23891779780387878
alta,alta,1528,-0.21554355323314667
2006,2006,81,-0.2367507815361023
sea,siga,6113,-0.22047372162342072
hoy,hoy,4044,-0.24375522136688232
mis,mis,4749,-0.2519844174385071
San,Sant,1055,-0.2654694616794586
3.7,"3,7",110,-0.24115103483200073
100,100,4,-0.2133951634168625
dos,dos,3073,-0.21577806770801544
250,250,98,-0.20948025584220886
Así,Así,245,-0.25927698612213135
aun,aun,1775,-0.20314568281173706
río,río,6057,-0.2091110795736313
Una,Una,1214,-0.20272080600261688
une,une,6713,-0.25339946150779724
más,más,4850,-0.22365446388721466
Eee,Eee,465,-0.22151751816272736
rey,rey,5987,-0.23035645484924316
sus,suyo,6391,-0.21077707409858704
Sur,Sur,1136,-0.21322737634181976
29,29,104,-0.2671967148780823
26,26,100,-0.22241240739822388
34,34,115,-0.27390390634536743
35,35,116,-0.20849740505218506
40,40,125,-0.2867581844329834
mí,mí,4859,-0.20087839663028717
15,15,22,-0.23259282112121582
Lo,Lo,746,-0.22874237596988678
80,80,158,-0.23829056322574615
EE,EE,454,-0.20902526378631592
II,II,637,-0.2698114216327667
70,70,152,-0.2684263586997986
sí,si,6407,-0.2990145683288574
me,me,4660,-0.2285338044166565
53,53,138,-0.29733937978744507
Se,Se,1071,-0.24056120216846466
él,él,6976,-0.24183160066604614
sé,sé,6405,-0.22698210179805756
45,45,129,-0.21505488455295563
A,A,169,-0.26758694648742676
2,2,73,-0.24620969593524933
9,9,167,-0.23510384559631348
hablan,parlan,3941,-0.22808672487735748
senado,senau,6160,-0.2447042167186737
equipo,equipe,3293,-0.2763703763484955
comían,comiban,2338,-0.2587159276008606
amplia,ampla,1561,-0.23667755722999573
veinte,veint,6784,-0.2283295840024948
cambia,cambia,1988,-0.2144019603729248
altura,altura,1536,-0.2273797243833542
título,titol,6697,-0.26351287961006165
oscura,oscura,5114,-0.20059585571289062
estaba,estaba,3399,-0.20510415732860565
Unidos,Unius,1216,-0.20576734840869904
sonido,sonido,6300,-0.21146567165851593
cuarto,quarto,2617,-0.21234044432640076
aéreos,aerios,1819,-0.2140645682811737
podido,podiu,5376,-0.24777139723300934
creían,creiban,2578,-0.2397194802761078
lucían,luiban,4536,-0.24803507328033447
hablar,parlar,3942,-0.22507831454277039
armada,armada,1673,-0.20667769014835358
celdas,celdas,2107,-0.2057362198829651
apogeo,apocheyo,1642,-0.28483477234840393
cuales,cuals,2610,-0.2441423386335373
espera,espera,3375,-0.2501451075077057
casado,casato,2067,-0.2118193358182907
pasado,pasato,5202,-0.20278581976890564
Borneo,Borneyo,288,-0.20255549252033234
avance,abance,1797,-0.21690306067466736
niños,ninyos,4931,-0.2064398229122162
guían,guiban,3918,-0.205062136054039
rojas,royas,6016,-0.22959043085575104
varía,varía,6774,-0.29777833819389343
sueño,suenyo,6346,-0.2264394462108612
herir,herir,3984,-0.20262320339679718
Ébola,Ébola,6956,-0.20581211149692535
aéreo,aerio,1818,-0.2016749083995819
hojas,follas,4013,-0.2506832480430603
temía,temeba,6481,-0.21942059695720673
todas,todas,6549,-0.24584563076496124
avión,avión,1810,-0.2038983553647995
estar,estar,3422,-0.28023234009742737
trece,trece,6650,-0.296896368265152
Unido,Uniu,1215,-0.24325095117092133
solía,solía,6295,-0.2523946762084961
horas,foras,4030,-0.20674081146717072
hecho,feito,3976,-0.22098955512046814
estás,estás,3474,-0.2777029275894165
unión,s'unión,6720,-0.24415050446987152
árbol,árbol,6969,-0.21642285585403442
tiene,tiene,6533,-0.2674720287322998
entre,entre,3274,-0.2833545506000519
ruido,rudio,6040,-0.2247273474931717
museo,museu,4839,-0.23342886567115784
hielo,fielo,3993,-0.24800723791122437
caído,caito,2105,-0.2560398578643799
Agite,Achite,190,-0.2069896161556244
manos,mans,4593,-0.24070920050144196
cacao,cacau,1963,-0.22178120911121368
hijos,fillos,3999,-0.23190473020076752
abrió,abrió,1320,-0.2937638759613037
según,segunt,6146,-0.21187527477741241
Bajos,Baixos,266,-0.20459991693496704
Perdí,Perdí,952,-0.2708403468132019
otros,atros,5125,-0.23993107676506042
ellas,ellas,3164,-0.21166512370109558
canes,cans,2020,-0.25685274600982666
están,están,3471,-0.22200904786586761
enero,enero,3233,-0.21973425149917603
llevó,levó,4501,-0.23907288908958435
tarea,tarea,6436,-0.20875482261180878
guion,guion,3914,-0.21339450776576996
vinos,vinos,6861,-0.25292161107063293
hacen,hacen,3947,-0.2996828258037567
media,media,4664,-0.21827061474323273
abrir,ubrir,1319,-0.2143373340368271
medio,meyo,4675,-0.21226470172405243
miles,miles,4727,-0.2408488392829895
horno,forno,4035,-0.27399635314941406
hijas,fillas,3997,-0.2120208740234375
entra,dentra,3269,-0.21830524504184723
fines,fines,3684,-0.20054471492767334
álbum,álbum,6964,-0.26450660824775696
enojo,enollo,3254,-0.2660232186317444
seres,seres,6181,-0.25829648971557617
Pedro,Pedro,948,-0.2183072566986084
XVIII,XVII,1278,-0.2615344524383545
estén,estén,3476,-0.2491491585969925
cerrada,cerrada,2134,-0.24030284583568573
empujón,empuixón,3203,-0.2547484338283539
estarán,estarán,3423,-0.2174893468618393
entrara,dentrara,3273,-0.21650725603103638
oscuros,oscuros,5118,-0.2929009199142456
extremo,extremo,3594,-0.2130340188741684
enterró,s'enterró,3264,-0.23477429151535034
cerrado,zarrato,2136,-0.29579976201057434
estaban,estaban,3400,-0.20755614340305328
debería,debería,2712,-0.21473203599452972
padecer,padecer,5137,-0.2521095275878906
elegido,elechiu,3153,-0.2004729062318802
pájaros,paixaros,5683,-0.26928141713142395
comenzó,comenzó,2257,-0.20469385385513306
extrajo,extracho,3583,-0.24897915124893188
estados,estaus,3417,-0.2127978503704071
océanos,oceanos,5041,-0.206645667552948
hermana,chirmana,3985,-0.2336437851190567
estadía,estadía,3420,-0.2576946020126343
enteros,enters,3263,-0.2124321460723877
empiece,empiece,3189,-0.29208967089653015
costos,costes,2561,-0.20745600759983063
videos,videos,6846,-0.21392078697681427
sabían,sabeban,6065,-0.201387420296669
Señora,Sinyora,1082,-0.22588852047920227
lluvia,plevia,4504,-0.25249210000038147
Cuatro,Quatro,387,-0.20496432483196259
cuando,cuando,2613,-0.22199466824531555
Índico,Indico,6958,-0.24347595870494843
recibí,recibí,5774,-0.21014367043972015
Tardía,Tarda,1153,-0.24593497812747955
cuatro,quatro,2618,-0.21733681857585907
estado,estau,3416,-0.2728610038757324
peores,piors,5259,-0.2636895477771759
ofrece,ofreixe,5050,-0.22593313455581665
aíslan,aislan,1820,-0.25093886256217957
vieron,viero,6852,-0.20929712057113647
oponen,oponen,5076,-0.2586394250392914
leones,leyons,4435,-0.22060289978981018
huevos,huevos,4047,-0.21142545342445374
cuanto,quanto,2614,-0.2161410003900528
Incluido,Incluyiu,645,-0.23131625354290009
gruñidos,grunyius,3900,-0.2630901038646698
hospital,hospital,4038,-0.20607763528823853
cuidados,cuidaus,2646,-0.21801157295703888
entradas,entratas,3271,-0.24711567163467407
extendió,s'extendió,3568,-0.21088695526123047
incluido,incluyiu,4140,-0.21382835507392883
ciudades,ciudades,2188,-0.23304682970046997
cuidadas,cudiadas,2645,-0.246402770280838
compone,composa,2302,-0.22407765686511993
entrada,dentrada,3270,-0.276603639125824
esperan,esperan,3378,-0.26276418566703796
Erdoğan,Erdoban,485,-0.2875092625617981
