source,hyp,id,confidence
Vasco,Vasco,1233,-0.051745250821113586
bonos,bonos,1909,-0.085172638297081
migra,migra,4723,-0.037096865475177765
fuego,fuego,3762,-0.06660354137420654
nueve,nueve,4976,-0.053783025592565536
juego,chuego,4371,-0.05123814567923546
fondo,fondo,3704,-0.08601550757884979
lucir,lucir,4534,-0.03667780011892319
corre,corre,2537,-0.0505027212202549
pueda,pueda,5660,-0.05263936519622803
dejar,deixar,2756,-0.07425905019044876
negra,negra,4908,-0.06636682897806168
temor,temor,6471,-0.06655202060937881
menos,menos,4690,-0.05645044520497322
indio,indio,4167,-0.06098918616771698
lunas,lunas,4546,-0.054876673966646194
marca,marca,4617,-0.02735017240047455
darse,dar-se,2695,-0.09283484518527985
Loong,Loong,751,-0.009485890157520771
ritmo,ritmo,6001,-0.05131234601140022
luces,luces,4530,-0.052586525678634644
tabla,tabla,6413,-0.03075716271996498
corta,corta,2550,-0.08385185152292252
cielo,cielo,2159,-0.08261888474225998
checo,checo,2146,-0.045476339757442474
vivió,vivió,6897,-0.035927385091781616
Curso,Curso,394,-0.021992778405547142
cuero,cuero,2632,-0.06733956933021545
Tupua,Tupua,1197,-0.019764773547649384
filme,filme,3665,-0.057188745588064194
yogur,yogur,6949,-0.05265795812010765
Larry,Larry,729,-0.0045399051159620285
Straw,Straw,1125,-0.01751658134162426
picos,picos,5320,-0.05912511795759201
desea,deseya,2857,-0.04902001470327377
suelo,suelo,6342,-0.03766309842467308
logre,logre,4524,-0.05070154741406441
capaz,capaz,2037,-0.08013971894979477
kayak,kayak,4389,-0.01563001237809658
polvo,polvo,5393,-0.07943829894065857
beber,beber,1862,-0.03885476663708687
firma,firma,3687,-0.04034337401390076
mayor,mayor,4653,-0.01888917200267315
junto,chunto,4382,-0.04332265257835388
Hawái,Hawái,607,-0.03368460386991501
saben,saben,6062,-0.054987527430057526
suiza,suiza,6358,-0.09628921747207642
banda,banda,1837,-0.04893350228667259
carne,carne,2053,-0.08551906794309616
Fluke,Fluke,538,-0.016585951671004295
Edgar,Edgar,462,-0.07198411226272583
ileso,ileso,4084,-0.05094846338033676
salón,salón,6095,-0.04202234745025635
Byron,Byron,299,-0.009407234378159046
fotos,fotos,3731,-0.03518293797969818
Paget,Paget,927,-0.03173268958926201
París,París,940,-0.05920492485165596
opera,opera,5069,-0.042311135679483414
Wilds,Wilds,1264,-0.014074253849685192
daban,daban,2688,-0.03144794702529907
ambos,ambos,1548,-0.07974220812320709
mujer,muller,4827,-0.07172056287527084
urnas,urnas,6728,-0.06779469549655914
matar,matar,4642,-0.024264929816126823
coche,coche,2217,-0.057162750512361526
claro,claro,2197,-0.04931334778666496
venta,venta,6803,-0.07093524187803268
joven,choven,4367,-0.04446203634142876
North,North,876,-0.003737709019333124
metal,metal,4704,-0.04233251139521599
libra,libra,4461,-0.02920786663889885
Seork,Seork,1077,-0.03261638432741165
razón,razón,5743,-0.04085149988532066
crema,crema,2575,-0.03945225104689598
Sanju,Sanju,1056,-0.06277266889810562
falta,falta,3619,-0.02447800524532795
jalar,chalar,4352,-0.09091127663850784
cazan,cazan,2103,-0.07390066236257553
buena,buena,1938,-0.07045044749975204
iPods,iPods,4068,-0.06335803121328354
criar,criar,2582,-0.022491490468382835
alega,alega,1494,-0.07410228252410889
jugos,chugos,4378,-0.03894776105880737
Alden,Alden,196,-0.07183732092380524
Drive,Drive,445,-0.02893289364874363
hirió,firió,4002,-0.08416826277971268
Recep,Recep,1005,-0.013577847741544247
diera,diera,2949,-0.07945160567760468
latín,latín,4417,-0.012345629744231701
regla,regla,5845,-0.021593056619167328
Villa,Villa,1247,-0.02682540751993656
regía,rechiba,5854,-0.06843016296625137
miras,miras,4748,-0.0316833071410656
trozo,trozo,6669,-0.05569981783628464
mares,mares,4627,-0.08544701337814331
tanta,tanta,6429,-0.056003522127866745
labor,labor,4398,-0.02093980647623539
tacto,tacto,6418,-0.02968071773648262
Rusia,Rusia,1038,-0.022494064643979073
queda,queda,5695,-0.05180199071764946
rutas,rutas,6050,-0.09500418603420258
pipas,pipas,5330,-0.06367757171392441
21:19,21:19,94,-0.0913718193769455
meses,meses,4701,-0.04440239071846008
dieta,dieta,2951,-0.03886375576257706
rugby,rugby,6037,-0.01137098204344511
podio,podio,5377,-0.07626913487911224
lirón,lirón,4475,-0.05871717631816864
Nobel,Nobel,871,-0.016150251030921936
Jacob,Jacob,674,-0.07225419580936432
datos,datos,2699,-0.03504162281751633
señal,sinyal,6198,-0.07338406890630722
doble,doble,3052,-0.044718172401189804
Tommy,Tommy,1183,-0.009276287630200386
volar,volar,6907,-0.04006373509764671
Sueca,Sueca,1131,-0.06540824472904205
leche,leche,4421,-0.08303239196538925
pases,pases,5211,-0.07400639355182648
radar,radar,5725,-0.05999336391687393
Gaza,Gaza,558,-0.005194131284952164
USOC,USOC,1208,-0.004172646440565586
Tank,Tank,1151,-0.00829098466783762
Baba,Baba,262,-0.06242832541465759
boca,boca,1900,-0.037746839225292206
tour,tour,6583,-0.03647247701883316
Goma,Goma,572,-0.012522341683506966
pavo,pavo,5231,-0.049629904329776764
gran,gran,3878,-0.051209334284067154
PALM,PALM,918,-0.02371053770184517
Ames,Ames,207,-0.07290870696306229
Bush,Bush,297,-0.004884904716163874
cepa,cepa,2120,-0.043406665325164795
pato,pato,5224,-0.05606488138437271
FTIR,FTIR,525,-0.014338972978293896
ropa,ropa,6027,-0.046966928988695145
Arly,Arly,228,-0.0708695724606514
vela,vela,6786,-0.04334188997745514
Park,Park,936,-0.01943214423954487
baja,baixa,1829,-0.07975602895021439
fase,fase,3630,-0.05038055032491684
baño,banyo,1860,-0.06096118316054344
cayó,cayó,2099,-0.059575166553258896
gira,chira,3857,-0.043461043387651443
pelo,pelo,5244,-0.04787115007638931
John,John,688,-0.012219231575727463
luna,luna,4544,-0.09948600828647614
Tres,Tres,1193,-0.047574371099472046
rato,rato,5741,-0.057606860995292664
taza,taza,6444,-0.030267223715782166
solo,solo,6291,-0.055573929101228714
jugo,chugo,4377,-0.04597890377044678
caso,caso,2071,-0.09761082381010056
Debe,Debe,415,-0.03725096583366394
poco,poco,5372,-0.07671638578176498
Arya,Arya,237,-0.09889203310012817
1755,1755,34,-0.059363845735788345
Wild,Wild,1263,-0.004852290730923414
PTWC,PTWC,924,-0.016150077804923058
mató,mató,4651,-0.06214521452784538
Kong,Kong,713,-0.0065682800486683846
Ring,Ring,1024,-0.008248602971434593
cena,cena,2113,-0.09294512122869492
fama,fama,3620,-0.05111732333898544
data,data,2697,-0.03253747522830963
Dele,Dele,422,-0.05080946162343025
pudo,pudo,5657,-0.07107888907194138
Roma,Roma,1030,-0.04854481667280197
H5N5,H5N5,593,-0.029043961316347122
Ohio,Ohio,893,-0.0736328512430191
Lyon,Lyon,759,-0.023471025750041008
Nada,Nada,851,-0.02040187083184719
Solo,Solo,1113,-0.04771287739276886
roto,roto,6031,-0.04712619632482529
meta,meta,4703,-0.05905691161751747
capa,capa,2030,-0.06686368584632874
Noor,Noor,872,-0.01467937882989645
Casa,Casa,322,-0.07297299802303314
Sara,Sara,1061,-0.048039522022008896
1776,1776,37,-0.022884152829647064
Rick,Rick,1021,-0.00548712769523263
debo,debo,2718,-0.07557185739278793
X-XI,X-XI,1268,-0.08913638442754745
km/h,km/h,4392,-0.07492726296186447
sale,sale,6079,-0.04003309831023216
1100,1100,11,-0.0868300348520279
1300,1300,19,-0.07897206395864487
pago,pago,5142,-0.07375045120716095
Bhog,Bhog,279,-0.004475617781281471
Meca,Meca,794,-0.024620426818728447
sexo,sexo,6194,-0.04710603505373001
Gran,Gran,577,-0.019265973940491676
Será,Será,1080,-0.029843000695109367
poca,poca,5370,-0.03573956340551376
zona,zona,6951,-0.06258626282215118
Lamb,Lamb,725,-0.007451964542269707
Iowa,Iowa,660,-0.04484788700938225
1537,1537,25,-0.06771421432495117
pude,pude,5654,-0.08006314933300018
tomó,tomó,6561,-0.09084371477365494
1770,1770,36,-0.056338679045438766
isla,isla,4344,-0.06672058999538422
Seng,Seng,1075,-0.02841855026781559
moda,moda,4758,-0.04270417243242264
Ehud,Ehud,468,-0.036269016563892365
Dios,Dios,437,-0.09696891158819199
Hira,Hira,619,-0.0751810297369957
rock,rock,6007,-0.03715405613183975
digo,digo,2971,-0.058918021619319916
Pero,Pero,953,-0.02577895298600197
1767,1767,35,-0.038274653255939484
jefe,chefe,4360,-0.056403204798698425
pasa,pasa,5198,-0.0755784660577774
cura,cura,2659,-0.07232695817947388
Erie,Erie,487,-0.06807419657707214
atún,atún,1772,-0.09784650802612305
Jack,Jack,673,-0.046546608209609985
Lord,Lord,752,-0.01984340511262417
1683,1683,31,-0.06742455810308456
negó,negó,4910,-0.05500524863600731
wifi,wifi,6941,-0.010051862336695194
Riga,Riga,1022,-0.02278178371489048
Pago,Pago,928,-0.0356774739921093
días,días,3094,-0.04584808647632599
USGS,USGS,1207,-0.0048712980933487415
giro,chiro,3859,-0.055955301970243454
Shri,Shri,1092,-0.007113155908882618
7:30,7:30,156,-0.028146183118224144
casi,casi,2069,-0.04140273481607437
Yoga,Yoga,1284,-0.03790358826518059
1884,1884,43,-0.08729777485132217
duro,duro,3089,-0.03903551772236824
lava,lava,4418,-0.03700055927038193
bits,bits,1890,-0.028980210423469543
pero,pero,5294,-0.04900958761572838
iodo,iodo,4334,-0.03976580500602722
toma,toma,6554,-0.0815696269273758
caen,cayen,1968,-0.08071210980415344
Tras,Tras,1191,-0.03216853365302086
Noto,Noto,878,-0.06541331857442856
maíz,maíz,4658,-0.0523664765059948
NASA,NASA,843,-0.002235743450000882
Mike,Mike,811,-0.02693658135831356
tala,tala,6422,-0.050761494785547256
nota,nota,4961,-0.0375431552529335
7:19,7:19,155,-0.027674628421664238
tren,tren,6652,-0.04363126680254936
crea,creya,2566,-0.09936468303203583
ASUS,ASUS,174,-0.05650435760617256
Camp,Camp,312,-0.03784274309873581
vida,vida,6844,-0.048073556274175644
deje,deixe,2759,-0.09169675409793854
tipo,tipo,6541,-0.02773519791662693
Card,Card,317,-0.018588265404105186
Hall,Hall,601,-0.014687982387840748
Homo,Homo,624,-0.059413377195596695
6:30,6:30,150,-0.022286932915449142
unir,unir,6717,-0.08697794377803802
piel,piel,5323,-0.04109689220786095
Adam,Adam,182,-0.08211707323789597
Kier,Kier,708,-0.01136354822665453
York,York,1285,-0.007361024152487516
Tyan,Tyan,1199,-0.015184110030531883
lobo,lobo,4508,-0.05116916075348854
West,West,1260,-0.011898952536284924
juró,churó,4384,-0.041179757565259933
Raju,Raju,1001,-0.02864069491624832
Ilha,Ilha,640,-0.03855634480714798
Hong,Hong,625,-0.031706470996141434
leve,leve,4449,-0.09759877622127533
URSS,URSS,1205,-0.0136049659922719
pena,pena,5247,-0.08126308768987656
Paro,Paro,937,-0.06181303784251213
diez,diez,2952,-0.026724908500909805
Sans,Sans,1057,-0.06108842417597771
tira,tira,6543,-0.07461021840572357
mide,mide,4716,-0.08721386641263962
muta,muta,4843,-0.04606350511312485
taxi,taxi,6443,-0.01423639990389347
1500,1500,24,-0.07856990396976471
basa,basa,1846,-0.029268939048051834
FIFA,FIFA,523,-0.014689982868731022
flor,flor,3694,-0.011847825720906258
raro,raro,5736,-0.055525410920381546
café,café,1970,-0.01925482042133808
blog,blog,1894,-0.027837339788675308
Erik,Erik,488,-0.03532307967543602
Cuba,Cuba,388,-0.05987917259335518
tela,tela,6454,-0.0756061002612114
UCLA,UCLA,1203,-0.012556144036352634
club,club,2207,-0.023978030309081078
