source,hyp,id,confidence
pense,pans,4902,-0.11010623723268509
paons,paon,4804,-0.1741822361946106
bonne,bon,1753,-0.1449717879295349
ordre,ord,4747,-0.12518486380577087
panne,pann,4800,-0.13080021739006042
Wilds,Wild,1185,-0.18468549847602844
rendu,randi,5528,-0.13167092204093933
objet,obze,4681,-0.13749630749225616
forêt,fore,3350,-0.12387717515230179
votes,vot,6729,-0.17038598656654358
grave,grav,3464,-0.1591462641954422
entré,antre,3091,-0.17729312181472778
Chase,Saz,325,-0.1609363704919815
tasse,tas,6286,-0.15086114406585693
peine,penn,4892,-0.17014893889427185
royal,rwayal,5674,-0.1528857946395874
yacht,yash,6773,-0.17655566334724426
envie,anvie,3099,-0.1508604884147644
miner,mine,4401,-0.19124244153499603
break,break,1777,-0.13349585235118866
Tesla,tesla,1102,-0.12280471622943878
civil,sivil,2036,-0.1401093453168869
Haïti,Hati,544,-0.17411528527736664
d'Uka,Ika,2490,-0.1667325496673584
fusée,fize,3400,-0.14290620386600494
longe,lonze,4193,-0.18054011464118958
Recep,Resep,951,-0.1264793872833252
seule,sele,5960,-0.15450385212898254
donne,donn,2809,-0.1705494523048401
lames,lames,4100,-0.17946994304656982
base,baz,1674,-0.13039672374725342
mina,mina,4400,-0.15125811100006104
Dame,Dame,387,-0.16813556849956512
faut,fat,3245,-0.11130942404270172
nage,naz,4560,-0.18666602671146393
Avec,Avek,237,-0.13637426495552063
cinq,sinke,2026,-0.19972501695156097
Ryan,Rian,978,-0.1148558259010315
City,Siti,336,-0.12256790697574615
dire,dir,2725,-0.1550278663635254
skis,Skis,6015,-0.10248000174760818
miel,miel,4384,-0.16376540064811707
pris,pri,5166,-0.14126473665237427
neuf,Nef,4591,-0.14270809292793274
Bhog,Bhog,258,-0.11000681668519974
posé,pose,5096,-0.13971035182476044
2011,2014,86,-0.1876102238893509
mise,miz,4417,-0.14638541638851166
Anne,Ann,191,-0.13240256905555725
Ceci,Sesi,306,-0.16816136240959167
durs,dir,2839,-0.1971069872379303
yens,yens,6775,-0.1156594455242157
liés,lie,4172,-0.12691748142242432
bras,bra,1776,-0.1363086998462677
mené,mene,4364,-0.12389518320560455
Cour,Kour,362,-0.1494816690683365
Rhin,Rin,953,-0.17045971751213074
2016,2016,89,-0.12242846190929413
face,fas,3211,-0.12264235317707062
bout,bout,1770,-0.11072785407304764
bois,bwa,1747,-0.17651864886283875
zone,zonn,6778,-0.10856509953737259
Elle,Ele,437,-0.1155552938580513
ange,anze,1420,-0.15563775599002838
camp,kanpe,1829,-0.18917106091976166
gare,gar,3427,-0.1473122388124466
Seng,Seng,1015,-0.15073706209659576
