source,hyp,id,confidence
l'IA,I1,3876,-1.0297422409057617
mph,Naf,4488,-1.0979801416397095
J-C,Pi,595,-1.2736338376998901
ait,lait,1359,-1.087277889251709
IT,II6,568,-1.37815523147583
PC,Pi,871,-1.0535591840744019
mm,lama,4419,-1.0392448902130127
TT,Th,1085,-1.1147072315216064
vu,oui,6749,-1.0916093587875366
h,hot,3516,-1.0658711194992065
V,Pi,1150,-1.1566859483718872
l'URSS,IRki,3893,-1.0034433603286743
fortement,form,3347,-1.23333740234375
arbitrairement,apitrerman,1494,-1.0548064708709717
