source,hyp,id,confidence
Enfin,Anfin,444,-0.017631633207201958
testé,teste,6344,-0.0238095223903656
match,match,4332,-0.04476003348827362
Quant,Quant,941,-0.09662852436304092
Armée,Arme,203,-0.008157830685377121
otage,otaz,4768,-0.010977271012961864
fumée,fime,3392,-0.017921440303325653
fondé,fonde,3318,-0.0609782412648201
liées,lie,4171,-0.03182167187333107
Oprah,Oprah,863,-0.09947571903467178
films,fim,3276,-0.036990273743867874
terre,ter,6334,-0.06852658092975616
Manta,Manta,751,-0.036207545548677444
relie,reli,5496,-0.021293561905622482
riche,ris,5627,-0.049088254570961
Drive,Drive,413,-0.09574825316667557
école,ekole,6817,-0.06742475181818008
vidéo,video,6643,-0.024596404284238815
poste,poste,5093,-0.09479999542236328
violé,viole,6667,-0.026982244104146957
fusil,fizil,3398,-0.06499373912811279
latin,latin,4115,-0.017109546810388565
métro,metro,4535,-0.0033736489713191986
Étant,Etan,6790,-0.08909865468740463
viser,vize,6677,-0.09476549178361893
avril,avril,1637,-0.043349623680114746
rugir,rizir,5679,-0.060844145715236664
récif,resif,5706,-0.01274133287370205
dinde,dinde,2718,-0.0676167756319046
Lundi,Lindi,730,-0.003949995152652264
blogs,blog,1740,-0.0351116843521595
réels,reel,5718,-0.03788468614220619
musée,mize,4499,-0.07599370926618576
réglé,regle,5729,-0.006350968033075333
félin,felin,3407,-0.02241753228008747
métal,metal,4527,-0.004091410897672176
cacao,kakao,1819,-0.00877964124083519
jette,zet,3816,-0.02427191659808159
Malar,Malar,745,-0.01814079098403454
bosse,bos,1758,-0.028578106313943863
réélu,reeli,5790,-0.047245342284440994
sacré,sakre,5838,-0.05356082320213318
boire,bwar,1746,-0.04295288771390915
moto,moto,4477,-0.022650249302387238
Irak,Irak,581,-0.008404991589486599
hors,hor,3564,-0.09946904331445694
long,long,4192,-0.028943268582224846
Leur,Ler,706,-0.02661261148750782
chef,sef,1978,-0.08587952703237534
lors,lor,4197,-0.059341270476579666
Deux,De,403,-0.06260138005018234
mots,mot,4478,-0.03318798542022705
vécu,veki,6753,-0.018977133557200432
Arya,Arya,207,-0.0007805995410308242
visa,viza,6673,-0.03726506233215332
Lors,Lor,720,-0.0771312341094017
Polo,Polo,916,-0.0017098942771553993
bref,bref,1778,-0.08444765210151672
Erik,Erik,452,-0.09194284677505493
1990,199,66,-0.07899578660726547
hier,yer,3542,-0.055256929248571396
Mitt,Mit,782,-0.005065948702394962
Moll,Mol,786,-0.04968990385532379
L'un,Lin,681,-0.09231433272361755
être,Ete,6958,-0.054691869765520096
taxi,taxi,6289,-0.017017580568790436
d'or,lor,2580,-0.016837656497955322
Paro,Paro,891,-0.00030257043545134366
1966,196,55,-0.09628980606794357
Anna,Ana,190,-0.03897910565137863
clos,klos,2060,-0.05042611435055733
bien,bien,1709,-0.01611894927918911
caro,karo,1865,-0.007479337975382805
lève,leve,4222,-0.0651736930012703
Près,Pre,933,-0.03362089768052101
Jack,Zak,597,-0.04668107256293297
Adam,adam,165,-0.02202235721051693
âgée,aze,6801,-0.08083468675613403
Arly,Arli,201,-0.019926482811570168
Lord,Lor,719,-0.02554045245051384
lion,lion,4154,-0.09358556568622589
ciel,siel,2024,-0.06513940542936325
amie,ami,1401,-0.07888663560152054
FIFA,FIFA,464,-0.0485285148024559
l'or,lor,4045,-0.017931511625647545
Newt,Net,821,-0.032866138964891434
1988,198,64,-0.05743934586644173
mais,mais,4252,-0.01894165389239788
vers,ver,6627,-0.05484170839190483
blog,blog,1739,-0.01770973391830921
lune,linn,4212,-0.03066929429769516
Bien,Bien,263,-0.043792370706796646
Noto,Noto,838,-0.0011215712875127792
polo,polo,5052,-0.07468584179878235
Riga,Riga,956,-0.0035154162906110287
Sara,Sara,1003,-0.005071265622973442
club,klib,2061,-0.007698048371821642
l'on,lon,4042,-0.0324498787522316
fine,finn,3284,-0.06356462836265564
soir,swar,6035,-0.04887169227004051
café,kafe,1824,-0.005950674414634705
Pago,Pago,878,-0.015290269628167152
Nord,Nor,832,-0.020945634692907333
lire,lir,4159,-0.06225777417421341
Dieu,Die,405,-0.030867284163832664
bord,bor,1756,-0.010395201854407787
basé,baze,1679,-0.09522116929292679
Gaza,Gaza,497,-0.0015591884730383754
duré,dire,2840,-0.0305673498660326
Taxi,Taxi,1095,-0.06966086477041245
Lyon,Lion,732,-0.0433795340359211
bébé,baba,1806,-0.02581147849559784
halo,alo,3526,-0.0024856249801814556
Même,Mem,803,-0.040878426283597946
noms,nom,4620,-0.028073085471987724
afin,afin,1324,-0.029416140168905258
Camp,Kanpe,293,-0.05525475740432739
subi,sibi,6152,-0.017863979563117027
Toto,Toto,1115,-0.011883381754159927
fort,for,3345,-0.035070449113845825
fête,fet,3413,-0.010941633023321629
NASA,NASA,807,-0.0009194339509122074
Gama,Gama,493,-0.0009214209858328104
Baba,Baba,240,-0.0008627800270915031
coup,koup,2367,-0.05956828594207764
vrai,vre,6747,-0.08045706897974014
brun,brin,1788,-0.014345838688313961
bons,bon,1755,-0.03505042567849159
Noor,Nour,831,-0.058912236243486404
loup,loup,4202,-0.07992570847272873
1945,194,49,-0.043408479541540146
Goma,Goma,512,-0.025319857522845268
bhog,bog,1705,-0.007789304479956627
Kong,Kong,641,-0.05220857262611389
Park,Park,888,-0.07162552326917648
Cela,Sela,307,-0.041116274893283844
Hira,Hira,552,-0.07122530043125153
rôle,rol,5792,-0.08220818638801575
film,fim,3275,-0.03884948045015335
près,pre,5248,-0.044522810727357864
abus,abi,1232,-0.010056043043732643
Inde,Inde,573,-0.07562129944562912
donc,donc,2807,-0.016073614358901978
Long,Long,717,-0.07134555280208588
note,not,4640,-0.09335051476955414
bums,bim,1797,-0.059545427560806274
Anfa,Anfa,186,-0.0048479801043868065
agir,azir,1332,-0.025179926306009293
robe,rob,5642,-0.020116951316595078
<unk>oga,Poga,1206,-0.09414778649806976
Cité,Site,337,-0.008951665833592415
Apia,Apia,192,-0.005985173396766186
zéro,zero,6780,-0.0014249681262299418
Noël,Nwel,846,-0.04014011472463608
Cabo,Kabo,288,-0.002954203635454178
yoga,yoga,6776,-0.002028068760409951
chic,sik,1993,-0.07158439606428146
Roca,Roka,959,-0.010571928694844246
lavé,lave,4119,-0.022095151245594025
mode,mod,4421,-0.021500347182154655
Kier,Kier,636,-0.05552513524889946
Dani,Dani,389,-0.05530226230621338
Iran,Iran,582,-0.029709521681070328
volé,vole,6722,-0.06117183715105057
coco,koko,2065,-0.010037940926849842
Java,Zava,605,-0.06070366129279137
Arba,Arba,196,-0.025338472798466682
moi,moi,4429,-0.06537291407585144
Une,Éne,1141,-0.02048189379274845
œil,Sil,6962,-0.08223877847194672
mot,mot,4474,-0.01547910925000906
6-6,66,139,-0.09161405265331268
Six,Sis,1043,-0.013725854456424713
Sud,Sid,1063,-0.08364741504192352
Oli,Oli,859,-0.010316131636500359
bon,bon,1752,-0.009762858040630817
etc,etc,3144,-0.029849687591195107
Bob,Bob,267,-0.05259861424565315
arc,ark,1497,-0.07577241957187653
mur,mir,4495,-0.0759768858551979
thé,te,6352,-0.03851286694407463
360,360,115,-0.09843266010284424
feu,fe,3267,-0.07902722805738449
Mon,Mo,787,-0.037245120853185654
nez,pe,4597,-0.08336282521486282
ami,ami,1399,-0.03231871873140335
lui,li,4206,-0.05203183367848396
peu,pe,4938,-0.01629847101867199
but,bit,1800,-0.07357072085142136
Who,Wo,1181,-0.012961703352630138
air,lair,1354,-0.0851832777261734
fur,fir,3394,-0.06841877847909927
ski,Ski,6010,-0.047476090490818024
Cap,Kap,296,-0.07589491456747055
mon,mon,4438,-0.03533419966697693
fin,fin,3279,-0.07915932685136795
loi,loi,4186,-0.06580954045057297
"6,5","6,5",138,-0.0510893389582634
Sur,Sir,1068,-0.00583947217091918
Le,pe,702,-0.05578574165701866
Pa,Pa,875,-0.0548103041946888
29,29,103,-0.013196378946304321
56,56,134,-0.09898573160171509
Je,pe,607,-0.00933369155973196
ne,pe,4584,-0.03457597270607948
Ou,Ou,867,-0.09128966182470322
28,28,101,-0.07851815968751907
Dr,Dr,408,-0.00879591517150402
Nu,Ni,847,-0.09530018270015717
ma,ma,4235,-0.07401984184980392
50,50,131,-0.02171386033296585
19,19,46,-0.024414382874965668
of,of,4713,-0.0021533998660743237
où,où,4783,-0.010979938320815563
<unk>e,pe,1202,-0.06480750441551208
Ce,Se,305,-0.06081460788846016
Sa,So,985,-0.07298439741134644
Du,Di,414,-0.0570494718849659
by,bi,1801,-0.028484003618359566
60,60,140,-0.08311537653207779
35,35,113,-0.05612470954656601
pu,pi,5313,-0.05912800133228302
–,–,6966,-0.09288083016872406
A,A,159,-0.027240540832281113
