lang_pair,train,val,test,date_of_count
bho-hi,48215,1004,954,07/16/2025 17:14:15
bn-as,246189,1043,983,07/16/2025 18:35:46
cs-hsb,935,100,101,07/16/2025 18:55:38
djk-en,1602,200,192,07/16/2025 19:18:16
es-an,53797,618,604,07/16/2025 20:21:25
ewe-fon,8095,1012,942,07/16/2025 21:17:20
fon-ewe,8096,1012,936,07/16/2025 21:49:56
fr-mfe,7381,278,278,07/16/2025 22:11:04
hi-bho,48190,1004,962,07/16/2025 22:45:59
lua-bem,38379,1010,955,07/16/2025 23:21:05
tho3-mas3,916,100,101,06/11/2025 14:14:13
bren-dan,7381,278,278,06/13/2025 13:19:41
